time,counts_left,counts_right,r,l
2019-11-15 16:31:15,0.0,0.0,0.0,0.0
2019-11-15 16:31:16,0.0,0.0,0.0,0.0
2019-11-15 16:31:17,0.0,0.0,0.0,0.0
2019-11-15 16:31:18,0.0,0.0,0.0,0.0
2019-11-15 16:31:19,200.0,134.0,1.0,1.0
2019-11-15 16:31:20,184.0,153.0,1.0,1.0
2019-11-15 16:31:21,131.0,144.0,1.0,1.0
2019-11-15 16:31:22,90.0,121.0,1.0,1.0
2019-11-15 16:31:23,60.0,86.0,1.0,1.0
2019-11-15 16:31:24,27.0,67.0,1.0,1.0
2019-11-15 16:31:25,14.0,64.0,1.0,1.0
2019-11-15 16:31:26,2.0,56.0,1.0,1.0
2019-11-15 16:31:27,0.0,55.0,1.0,0.0
2019-11-15 16:31:28,0.0,59.0,1.0,0.0
2019-11-15 16:31:29,0.0,49.0,1.0,0.0
2019-11-15 16:31:30,0.0,28.0,1.0,0.0
2019-11-15 16:31:31,0.0,21.0,1.0,0.0
2019-11-15 16:31:32,0.0,23.0,1.0,0.0
2019-11-15 16:31:33,3.0,19.0,1.0,1.0
2019-11-15 16:31:34,7.0,19.0,1.0,1.0
2019-11-15 16:31:35,15.0,17.0,1.0,1.0
2019-11-15 16:31:36,26.0,8.0,1.0,1.0
2019-11-15 16:31:37,28.0,2.0,1.0,1.0
2019-11-15 16:31:38,32.0,0.0,0.0,1.0
2019-11-15 16:31:39,53.0,1.0,1.0,1.0
2019-11-15 16:31:40,63.0,3.0,1.0,1.0
2019-11-15 16:31:41,64.0,14.0,1.0,1.0
2019-11-15 16:31:42,75.0,24.0,1.0,1.0
2019-11-15 16:31:43,69.0,32.0,1.0,1.0
2019-11-15 16:31:44,46.0,38.0,1.0,1.0
2019-11-15 16:31:45,32.0,39.0,1.0,1.0
2019-11-15 16:31:46,29.0,33.0,1.0,1.0
2019-11-15 16:31:47,20.0,34.0,1.0,1.0
2019-11-15 16:31:48,47.0,49.0,1.0,1.0
2019-11-15 16:31:49,71.0,69.0,1.0,1.0
2019-11-15 16:31:50,69.0,74.0,1.0,1.0
2019-11-15 16:31:51,75.0,73.0,1.0,1.0
2019-11-15 16:31:52,71.0,66.0,1.0,1.0
2019-11-15 16:31:53,46.0,53.0,1.0,1.0
2019-11-15 16:31:54,20.0,34.0,1.0,1.0
2019-11-15 16:31:55,17.0,30.0,1.0,1.0
2019-11-15 16:31:56,8.0,38.0,1.0,1.0
2019-11-15 16:31:57,16.0,43.0,1.0,1.0
2019-11-15 16:31:58,16.0,57.0,1.0,1.0
2019-11-15 16:31:59,16.0,74.0,1.0,1.0
2019-11-15 16:32:00,17.0,75.0,1.0,1.0
2019-11-15 16:32:01,12.0,83.0,1.0,1.0
2019-11-15 16:32:02,3.0,84.0,1.0,1.0
2019-11-15 16:32:03,1.0,69.0,1.0,1.0
2019-11-15 16:32:04,1.0,59.0,1.0,1.0
2019-11-15 16:32:05,0.0,73.0,1.0,0.0
2019-11-15 16:32:06,0.0,63.0,1.0,0.0
2019-11-15 16:32:07,0.0,54.0,1.0,0.0
2019-11-15 16:32:08,0.0,50.0,1.0,0.0
2019-11-15 16:32:09,0.0,44.0,1.0,0.0
2019-11-15 16:32:10,1.0,33.0,1.0,1.0
2019-11-15 16:32:11,1.0,28.0,1.0,1.0
2019-11-15 16:32:12,1.0,31.0,1.0,1.0
2019-11-15 16:32:13,1.0,34.0,1.0,1.0
2019-11-15 16:32:14,1.0,37.0,1.0,1.0
2019-11-15 16:32:15,0.0,38.0,1.0,0.0
2019-11-15 16:32:16,1.0,38.0,1.0,1.0
2019-11-15 16:32:17,1.0,39.0,1.0,1.0
2019-11-15 16:32:18,1.0,44.0,1.0,1.0
2019-11-15 16:32:19,4.0,41.0,1.0,1.0
2019-11-15 16:32:20,5.0,53.0,1.0,1.0
2019-11-15 16:32:21,9.0,72.0,1.0,1.0
2019-11-15 16:32:22,18.0,74.0,1.0,1.0
2019-11-15 16:32:23,27.0,73.0,1.0,1.0
2019-11-15 16:32:24,34.0,71.0,1.0,1.0
2019-11-15 16:32:25,40.0,61.0,1.0,1.0
2019-11-15 16:32:26,35.0,54.0,1.0,1.0
2019-11-15 16:32:27,26.0,61.0,1.0,1.0
2019-11-15 16:32:28,17.0,57.0,1.0,1.0
2019-11-15 16:32:29,7.0,60.0,1.0,1.0
2019-11-15 16:32:30,0.0,63.0,1.0,0.0
2019-11-15 16:32:31,0.0,60.0,1.0,0.0
2019-11-15 16:32:32,1.0,59.0,1.0,1.0
2019-11-15 16:32:33,1.0,62.0,1.0,1.0
2019-11-15 16:32:34,1.0,57.0,1.0,1.0
2019-11-15 16:32:35,1.0,55.0,1.0,1.0
2019-11-15 16:32:36,1.0,49.0,1.0,1.0
2019-11-15 16:32:37,0.0,42.0,1.0,0.0
2019-11-15 16:32:38,0.0,41.0,1.0,0.0
2019-11-15 16:32:39,1.0,39.0,1.0,1.0
2019-11-15 16:32:40,6.0,40.0,1.0,1.0
2019-11-15 16:32:41,19.0,53.0,1.0,1.0
2019-11-15 16:32:42,35.0,70.0,1.0,1.0
2019-11-15 16:32:43,40.0,64.0,1.0,1.0
2019-11-15 16:32:44,46.0,61.0,1.0,1.0
2019-11-15 16:32:45,44.0,47.0,1.0,1.0
2019-11-15 16:32:46,33.0,30.0,1.0,1.0
2019-11-15 16:32:47,17.0,8.0,1.0,1.0
2019-11-15 16:32:48,13.0,5.0,1.0,1.0
2019-11-15 16:32:49,8.0,4.0,1.0,1.0
2019-11-15 16:32:50,5.0,3.0,1.0,1.0
2019-11-15 16:32:51,3.0,1.0,1.0,1.0
2019-11-15 16:32:52,2.0,1.0,1.0,1.0
2019-11-15 16:32:53,2.0,1.0,1.0,1.0
2019-11-15 16:32:54,0.0,1.0,1.0,0.0
2019-11-15 16:32:55,0.0,1.0,1.0,0.0
2019-11-15 16:32:56,1.0,0.0,0.0,1.0
2019-11-15 16:32:57,1.0,0.0,0.0,1.0
2019-11-15 16:32:58,1.0,0.0,0.0,1.0
2019-11-15 16:32:59,2.0,0.0,0.0,1.0
2019-11-15 16:33:00,2.0,0.0,0.0,1.0
2019-11-15 16:33:01,1.0,0.0,0.0,1.0
2019-11-15 16:33:02,2.0,0.0,0.0,1.0
2019-11-15 16:33:03,3.0,0.0,0.0,1.0
2019-11-15 16:33:04,2.0,0.0,0.0,1.0
2019-11-15 16:33:05,2.0,0.0,0.0,1.0
2019-11-15 16:33:06,2.0,0.0,0.0,1.0
2019-11-15 16:33:07,1.0,0.0,0.0,1.0
2019-11-15 16:33:08,0.0,0.0,0.0,0.0
2019-11-15 16:33:09,0.0,0.0,0.0,0.0
2019-11-15 16:33:10,0.0,0.0,0.0,0.0
2019-11-15 16:33:11,0.0,0.0,0.0,0.0
2019-11-15 16:33:12,0.0,0.0,0.0,0.0
2019-11-15 16:33:13,0.0,0.0,0.0,0.0
2019-11-15 16:33:14,0.0,8.0,1.0,0.0
2019-11-15 16:33:15,0.0,25.0,1.0,0.0
2019-11-15 16:33:16,0.0,41.0,1.0,0.0
2019-11-15 16:33:17,0.0,48.0,1.0,0.0
2019-11-15 16:33:18,0.0,56.0,1.0,0.0
2019-11-15 16:33:19,0.0,58.0,1.0,0.0
2019-11-15 16:33:20,0.0,45.0,1.0,0.0
2019-11-15 16:33:21,0.0,30.0,1.0,0.0
2019-11-15 16:33:22,0.0,27.0,1.0,0.0
2019-11-15 16:33:23,0.0,22.0,1.0,0.0
2019-11-15 16:33:24,0.0,13.0,1.0,0.0
2019-11-15 16:33:25,0.0,11.0,1.0,0.0
2019-11-15 16:33:26,3.0,14.0,1.0,1.0
2019-11-15 16:33:27,6.0,23.0,1.0,1.0
2019-11-15 16:33:28,6.0,28.0,1.0,1.0
2019-11-15 16:33:29,6.0,30.0,1.0,1.0
2019-11-15 16:33:30,6.0,29.0,1.0,1.0
2019-11-15 16:33:31,3.0,27.0,1.0,1.0
2019-11-15 16:33:32,0.0,24.0,1.0,0.0
2019-11-15 16:33:33,0.0,30.0,1.0,0.0
2019-11-15 16:33:34,0.0,36.0,1.0,0.0
2019-11-15 16:33:35,0.0,38.0,1.0,0.0
2019-11-15 16:33:36,0.0,43.0,1.0,0.0
2019-11-15 16:33:37,0.0,38.0,1.0,0.0
2019-11-15 16:33:38,0.0,24.0,1.0,0.0
2019-11-15 16:33:39,0.0,15.0,1.0,0.0
2019-11-15 16:33:40,1.0,11.0,1.0,1.0
2019-11-15 16:33:41,4.0,4.0,1.0,1.0
2019-11-15 16:33:42,9.0,4.0,1.0,1.0
2019-11-15 16:33:43,13.0,15.0,1.0,1.0
2019-11-15 16:33:44,14.0,23.0,1.0,1.0
2019-11-15 16:33:45,13.0,26.0,1.0,1.0
2019-11-15 16:33:46,10.0,31.0,1.0,1.0
2019-11-15 16:33:47,5.0,29.0,1.0,1.0
2019-11-15 16:33:48,7.0,17.0,1.0,1.0
2019-11-15 16:33:49,12.0,10.0,1.0,1.0
2019-11-15 16:33:50,19.0,6.0,1.0,1.0
2019-11-15 16:33:51,20.0,1.0,1.0,1.0
2019-11-15 16:33:52,21.0,0.0,0.0,1.0
2019-11-15 16:33:53,21.0,0.0,0.0,1.0
2019-11-15 16:33:54,21.0,0.0,0.0,1.0
2019-11-15 16:33:55,21.0,0.0,0.0,1.0
2019-11-15 16:33:56,20.0,0.0,0.0,1.0
2019-11-15 16:33:57,21.0,0.0,0.0,1.0
2019-11-15 16:33:58,16.0,0.0,0.0,1.0
2019-11-15 16:33:59,20.0,3.0,1.0,1.0
2019-11-15 16:34:00,31.0,6.0,1.0,1.0
2019-11-15 16:34:01,43.0,13.0,1.0,1.0
2019-11-15 16:34:02,46.0,18.0,1.0,1.0
2019-11-15 16:34:03,45.0,18.0,1.0,1.0
2019-11-15 16:34:04,34.0,14.0,1.0,1.0
2019-11-15 16:34:05,17.0,21.0,1.0,1.0
2019-11-15 16:34:06,4.0,45.0,1.0,1.0
2019-11-15 16:34:07,0.0,69.0,1.0,0.0
2019-11-15 16:34:08,1.0,93.0,1.0,1.0
2019-11-15 16:34:09,2.0,143.0,1.0,1.0
2019-11-15 16:34:10,6.0,164.0,1.0,1.0
2019-11-15 16:34:11,11.0,140.0,1.0,1.0
2019-11-15 16:34:12,19.0,137.0,1.0,1.0
2019-11-15 16:34:13,18.0,137.0,1.0,1.0
2019-11-15 16:34:14,17.0,96.0,1.0,1.0
2019-11-15 16:34:15,14.0,69.0,1.0,1.0
2019-11-15 16:34:16,12.0,61.0,1.0,1.0
2019-11-15 16:34:17,4.0,35.0,1.0,1.0
2019-11-15 16:34:18,4.0,11.0,1.0,1.0
2019-11-15 16:34:19,6.0,3.0,1.0,1.0
2019-11-15 16:34:20,11.0,0.0,0.0,1.0
2019-11-15 16:34:21,11.0,0.0,0.0,1.0
2019-11-15 16:34:22,14.0,0.0,0.0,1.0
2019-11-15 16:34:23,15.0,0.0,0.0,1.0
2019-11-15 16:34:24,14.0,0.0,0.0,1.0
2019-11-15 16:34:25,11.0,0.0,0.0,1.0
2019-11-15 16:34:26,12.0,0.0,0.0,1.0
2019-11-15 16:34:27,12.0,0.0,0.0,1.0
2019-11-15 16:34:28,14.0,0.0,0.0,1.0
2019-11-15 16:34:29,14.0,0.0,0.0,1.0
2019-11-15 16:34:30,11.0,0.0,0.0,1.0
2019-11-15 16:34:31,7.0,0.0,0.0,1.0
2019-11-15 16:34:32,3.0,0.0,0.0,1.0
2019-11-15 16:34:33,0.0,0.0,0.0,0.0
2019-11-15 16:34:34,0.0,0.0,0.0,0.0
2019-11-15 16:34:35,0.0,0.0,0.0,0.0
2019-11-15 16:34:36,0.0,0.0,0.0,0.0
2019-11-15 16:34:37,4.0,0.0,0.0,1.0
2019-11-15 16:34:38,6.0,0.0,0.0,1.0
2019-11-15 16:34:39,6.0,0.0,0.0,1.0
2019-11-15 16:34:40,6.0,2.0,1.0,1.0
2019-11-15 16:34:41,6.0,7.0,1.0,1.0
2019-11-15 16:34:42,2.0,11.0,1.0,1.0
2019-11-15 16:34:43,0.0,11.0,1.0,0.0
2019-11-15 16:34:44,0.0,18.0,1.0,0.0
2019-11-15 16:34:45,0.0,22.0,1.0,0.0
2019-11-15 16:34:46,0.0,18.0,1.0,0.0
2019-11-15 16:34:47,0.0,14.0,1.0,0.0
2019-11-15 16:34:48,2.0,14.0,1.0,1.0
2019-11-15 16:34:49,4.0,9.0,1.0,1.0
2019-11-15 16:34:50,6.0,5.0,1.0,1.0
2019-11-15 16:34:51,7.0,4.0,1.0,1.0
2019-11-15 16:34:52,11.0,4.0,1.0,1.0
2019-11-15 16:34:53,10.0,4.0,1.0,1.0
2019-11-15 16:34:54,7.0,7.0,1.0,1.0
2019-11-15 16:34:55,5.0,14.0,1.0,1.0
2019-11-15 16:34:56,4.0,26.0,1.0,1.0
2019-11-15 16:34:57,1.0,34.0,1.0,1.0
2019-11-15 16:34:58,4.0,40.0,1.0,1.0
2019-11-15 16:34:59,7.0,37.0,1.0,1.0
2019-11-15 16:35:00,8.0,32.0,1.0,1.0
2019-11-15 16:35:01,8.0,36.0,1.0,1.0
2019-11-15 16:35:02,7.0,53.0,1.0,1.0
2019-11-15 16:35:03,4.0,57.0,1.0,1.0
2019-11-15 16:35:04,1.0,57.0,1.0,1.0
2019-11-15 16:35:05,0.0,59.0,1.0,0.0
2019-11-15 16:35:06,0.0,49.0,1.0,0.0
2019-11-15 16:35:07,7.0,39.0,1.0,1.0
2019-11-15 16:35:08,13.0,42.0,1.0,1.0
2019-11-15 16:35:09,15.0,45.0,1.0,1.0
2019-11-15 16:35:10,19.0,38.0,1.0,1.0
2019-11-15 16:35:11,19.0,31.0,1.0,1.0
2019-11-15 16:35:12,12.0,18.0,1.0,1.0
2019-11-15 16:35:13,6.0,4.0,1.0,1.0
2019-11-15 16:35:14,4.0,0.0,0.0,1.0
2019-11-15 16:35:15,0.0,0.0,0.0,0.0
2019-11-15 16:35:16,0.0,0.0,0.0,0.0
2019-11-15 16:35:17,0.0,0.0,0.0,0.0
2019-11-15 16:35:18,0.0,0.0,0.0,0.0
2019-11-15 16:35:19,0.0,0.0,0.0,0.0
2019-11-15 16:35:20,0.0,0.0,0.0,0.0
2019-11-15 16:35:21,0.0,0.0,0.0,0.0
2019-11-15 16:35:22,0.0,0.0,0.0,0.0
2019-11-15 16:35:23,0.0,0.0,0.0,0.0
2019-11-15 16:35:24,0.0,0.0,0.0,0.0
2019-11-15 16:35:25,0.0,0.0,0.0,0.0
2019-11-15 16:35:26,0.0,0.0,0.0,0.0
2019-11-15 16:35:27,0.0,0.0,0.0,0.0
2019-11-15 16:35:28,0.0,0.0,0.0,0.0
2019-11-15 16:35:29,9.0,0.0,0.0,1.0
2019-11-15 16:35:30,32.0,9.0,1.0,1.0
2019-11-15 16:35:31,58.0,19.0,1.0,1.0
2019-11-15 16:35:32,67.0,25.0,1.0,1.0
2019-11-15 16:35:33,75.0,30.0,1.0,1.0
2019-11-15 16:35:34,66.0,30.0,1.0,1.0
2019-11-15 16:35:35,44.0,21.0,1.0,1.0
2019-11-15 16:35:36,21.0,11.0,1.0,1.0
2019-11-15 16:35:37,14.0,6.0,1.0,1.0
2019-11-15 16:35:38,8.0,0.0,0.0,1.0
2019-11-15 16:35:39,9.0,0.0,0.0,1.0
2019-11-15 16:35:40,12.0,0.0,0.0,1.0
2019-11-15 16:35:41,10.0,0.0,0.0,1.0
2019-11-15 16:35:42,11.0,0.0,0.0,1.0
2019-11-15 16:35:43,8.0,22.0,1.0,1.0
2019-11-15 16:35:44,7.0,68.0,1.0,1.0
2019-11-15 16:35:45,10.0,108.0,1.0,1.0
2019-11-15 16:35:46,15.0,120.0,1.0,1.0
2019-11-15 16:35:47,15.0,125.0,1.0,1.0
2019-11-15 16:35:48,15.0,104.0,1.0,1.0
2019-11-15 16:35:49,15.0,58.0,1.0,1.0
2019-11-25 16:46:59,32.0,54.0,1.0,1.0
2019-11-25 16:47:00,80.0,60.0,1.0,1.0
2019-11-25 16:47:01,113.0,72.0,1.0,1.0
2019-11-25 16:47:02,136.0,80.0,1.0,1.0
2019-11-25 16:47:03,165.0,64.0,1.0,1.0
2019-11-25 16:47:04,147.0,57.0,1.0,1.0
2019-11-25 16:47:05,102.0,43.0,1.0,1.0
2019-11-25 16:47:06,66.0,22.0,1.0,1.0
2019-11-25 16:47:07,43.0,27.0,1.0,1.0
2019-11-25 16:47:08,14.0,54.0,1.0,1.0
2019-11-25 16:47:09,9.0,81.0,1.0,1.0
2019-11-25 16:47:10,0.0,105.0,1.0,0.0
2019-11-25 16:47:11,0.0,126.0,1.0,0.0
2019-11-25 16:47:12,0.0,125.0,1.0,0.0
2019-11-25 16:47:13,0.0,119.0,1.0,0.0
2019-11-25 16:47:14,0.0,135.0,1.0,0.0
2019-11-25 16:47:15,0.0,153.0,1.0,0.0
2019-11-25 16:47:16,0.0,144.0,1.0,0.0
2019-11-25 16:47:17,0.0,166.0,1.0,0.0
2019-11-25 16:47:18,0.0,175.0,1.0,0.0
2019-11-25 16:47:19,0.0,153.0,1.0,0.0
2019-11-25 16:47:20,0.0,163.0,1.0,0.0
2019-11-25 16:47:21,2.0,189.0,1.0,1.0
2019-11-25 16:47:22,6.0,177.0,1.0,1.0
2019-11-25 16:47:23,15.0,180.0,1.0,1.0
2019-11-25 16:47:24,24.0,181.0,1.0,1.0
2019-11-25 16:47:25,28.0,139.0,1.0,1.0
2019-11-25 16:47:26,28.0,111.0,1.0,1.0
2019-11-25 16:47:27,24.0,91.0,1.0,1.0
2019-11-25 16:47:28,15.0,56.0,1.0,1.0
2019-11-25 16:47:29,6.0,40.0,1.0,1.0
2019-11-25 16:47:30,2.0,37.0,1.0,1.0
2019-11-25 16:47:31,0.0,25.0,1.0,0.0
2019-11-25 16:47:32,0.0,27.0,1.0,0.0
2019-11-25 16:47:33,0.0,37.0,1.0,0.0
2019-11-25 16:47:34,0.0,31.0,1.0,0.0
2019-11-25 16:47:35,0.0,38.0,1.0,0.0
2019-11-25 16:47:36,0.0,51.0,1.0,0.0
2019-11-25 16:47:37,0.0,43.0,1.0,0.0
2019-11-25 16:47:38,0.0,37.0,1.0,0.0
2019-11-25 16:47:39,0.0,46.0,1.0,0.0
2019-11-25 16:47:40,0.0,43.0,1.0,0.0
2019-11-25 16:47:41,0.0,37.0,1.0,0.0
2019-11-25 16:47:42,0.0,42.0,1.0,0.0
2019-11-25 16:47:43,2.0,45.0,1.0,1.0
2019-11-25 16:47:44,5.0,51.0,1.0,1.0
2019-11-25 16:47:45,9.0,59.0,1.0,1.0
2019-11-25 16:47:46,10.0,54.0,1.0,1.0
2019-11-25 16:47:47,10.0,49.0,1.0,1.0
2019-11-25 16:47:48,8.0,41.0,1.0,1.0
2019-11-25 16:47:49,7.0,26.0,1.0,1.0
2019-11-25 16:47:50,5.0,5.0,1.0,1.0
2019-11-25 16:47:51,4.0,1.0,1.0,1.0
2019-11-25 16:47:52,7.0,0.0,0.0,1.0
2019-11-25 16:47:53,7.0,0.0,0.0,1.0
2019-11-25 16:47:54,5.0,0.0,0.0,1.0
2019-11-25 16:47:55,13.0,0.0,0.0,1.0
2019-11-25 16:47:56,25.0,0.0,0.0,1.0
2019-11-25 16:47:57,31.0,0.0,0.0,1.0
2019-11-25 16:47:58,39.0,0.0,0.0,1.0
2019-11-25 16:47:59,42.0,0.0,0.0,1.0
2019-11-25 16:48:00,45.0,0.0,0.0,1.0
2019-11-25 16:48:01,34.0,0.0,0.0,1.0
2019-11-25 16:48:02,28.0,0.0,0.0,1.0
2019-11-25 16:48:03,40.0,0.0,0.0,1.0
2019-11-25 16:48:04,57.0,0.0,0.0,1.0
2019-11-25 16:48:05,50.0,0.0,0.0,1.0
2019-11-25 16:48:06,50.0,0.0,0.0,1.0
2019-11-25 16:48:07,53.0,0.0,0.0,1.0
2019-11-25 16:48:08,39.0,0.0,0.0,1.0
2019-11-25 16:48:09,23.0,6.0,1.0,1.0
2019-11-25 16:48:10,19.0,14.0,1.0,1.0
2019-11-25 16:48:11,17.0,19.0,1.0,1.0
2019-11-25 16:48:12,11.0,25.0,1.0,1.0
2019-11-25 16:48:13,5.0,25.0,1.0,1.0
2019-11-25 16:48:14,0.0,19.0,1.0,0.0
2019-11-25 16:48:15,0.0,11.0,1.0,0.0
2019-11-25 16:48:16,0.0,6.0,1.0,0.0
2019-11-25 16:48:17,0.0,0.0,0.0,0.0
2019-11-25 16:48:18,0.0,3.0,1.0,0.0
2019-11-25 16:48:19,0.0,10.0,1.0,0.0
2019-11-25 16:48:20,0.0,15.0,1.0,0.0
2019-11-25 16:48:21,1.0,28.0,1.0,1.0
2019-11-25 16:48:22,3.0,50.0,1.0,1.0
2019-11-25 16:48:23,7.0,59.0,1.0,1.0
2019-11-25 16:48:24,31.0,74.0,1.0,1.0
2019-11-25 16:48:25,70.0,99.0,1.0,1.0
2019-11-25 16:48:26,89.0,99.0,1.0,1.0
2019-11-25 16:48:27,90.0,92.0,1.0,1.0
2019-11-25 16:48:28,86.0,108.0,1.0,1.0
2019-11-25 16:48:29,63.0,105.0,1.0,1.0
2019-11-25 16:48:30,28.0,83.0,1.0,1.0
2019-11-25 16:48:31,11.0,73.0,1.0,1.0
2019-11-25 16:48:32,16.0,63.0,1.0,1.0
2019-11-25 16:48:33,22.0,38.0,1.0,1.0
2019-11-25 16:48:34,21.0,24.0,1.0,1.0
2019-11-25 16:48:35,17.0,27.0,1.0,1.0
2019-11-25 16:48:36,13.0,40.0,1.0,1.0
2019-11-25 16:48:37,6.0,56.0,1.0,1.0
2019-11-25 16:48:38,0.0,66.0,1.0,0.0
2019-11-25 16:48:39,0.0,75.0,1.0,0.0
2019-11-25 16:48:40,0.0,73.0,1.0,0.0
2019-11-25 16:48:41,0.0,57.0,1.0,0.0
2019-11-25 16:48:42,0.0,36.0,1.0,0.0
2019-11-25 16:48:43,0.0,28.0,1.0,0.0
2019-11-25 16:48:44,10.0,32.0,1.0,1.0
2019-11-25 16:48:45,27.0,40.0,1.0,1.0
2019-11-25 16:48:46,40.0,43.0,1.0,1.0
2019-11-25 16:48:47,42.0,45.0,1.0,1.0
2019-11-25 16:48:48,42.0,40.0,1.0,1.0
2019-11-25 16:48:49,33.0,21.0,1.0,1.0
2019-11-25 16:48:50,15.0,5.0,1.0,1.0
2019-11-25 16:48:51,5.0,4.0,1.0,1.0
2019-11-25 16:48:52,8.0,13.0,1.0,1.0
2019-11-25 16:48:53,13.0,35.0,1.0,1.0
2019-11-25 16:48:54,13.0,57.0,1.0,1.0
2019-11-25 16:48:55,13.0,67.0,1.0,1.0
2019-11-25 16:48:56,10.0,73.0,1.0,1.0
2019-11-25 16:48:57,5.0,62.0,1.0,1.0
2019-11-25 16:48:58,0.0,40.0,1.0,0.0
2019-11-25 16:48:59,0.0,19.0,1.0,0.0
2019-11-25 16:49:00,0.0,8.0,1.0,0.0
2019-11-25 16:49:01,0.0,0.0,0.0,0.0
2019-11-25 16:49:02,0.0,0.0,0.0,0.0
2019-11-25 16:49:03,0.0,0.0,0.0,0.0
2019-11-25 16:49:04,0.0,0.0,0.0,0.0
